Date,Time,PH1,PH2,COND1,COND2,WATER_TEMP,ROOM_TEMP,FBB1,FBB2,FF1,RACK1,DO,TGP
02/07/20,00:10,7.75,0,1036,0,27.2449,26.6185,16.1,0,16,0,0,0
02/07/20,00:25,7.74,0,1022,0,27.2536,26.4619,16.3,0,15.7,0,0,0
02/07/20,00:40,7.75,0,1032,0,27.2623,26.5141,16.1,0,15.8,0,0,0
02/07/20,00:55,7.74,0,1014,0,27.271,26.3401,16,0,15.8,0,0,0
02/07/20,01:10,7.76,0,1020,0,27.271,26.4445,16.3,0,15.7,0,0,0
02/07/20,01:25,7.77,0,1022,0,27.271,26.5141,15.9,0,15.7,0,0,0
02/07/20,01:40,7.77,0,1022,0,27.271,26.5576,16.2,0,15.8,0,0,0
02/07/20,01:55,7.77,0,1022,0,27.2797,26.4967,16.3,0,15.7,0,0,0
02/07/20,02:10,7.76,0,1026,0,27.2884,26.5141,16.4,0,15.9,0,0,0
02/07/20,02:25,7.77,0,1030,0,27.2797,26.5489,16.3,0,15.6,0,0,0
02/07/20,02:40,7.77,0,1026,0,27.2884,26.5402,16.1,0,15.8,0,0,0
02/07/20,02:55,7.77,0,1032,0,27.2884,26.4706,16.3,0,15.7,0,0,0
02/07/20,03:10,7.78,0,1032,0,27.2884,26.5402,15.9,0,15.6,0,0,0
02/07/20,03:25,7.78,0,1032,0,27.2884,26.5315,16.2,0,15.8,0,0,0
02/07/20,03:40,7.78,0,1032,0,27.2971,26.575,16.1,0,15.8,0,0,0
02/07/20,03:55,7.78,0,1030,0,27.3058,26.5315,16.2,0,15.8,0,0,0
02/07/20,04:10,7.78,0,1032,0,27.2971,26.4619,16.3,0,15.8,0,0,0
02/07/20,04:25,7.79,0,1026,0,27.2971,26.5576,16.2,0,15.8,0,0,0
02/07/20,04:40,7.77,0,1020,0,27.2971,26.4793,16.2,0,15.7,0,0,0
02/07/20,04:55,7.78,0,1030,0,27.2971,26.401,16.1,0,15.5,0,0,0
02/07/20,05:10,7.78,0,1032,0,27.3058,26.3314,16.3,0,15.5,0,0,0
02/07/20,05:25,7.79,0,1040,0,27.3058,26.4532,15.9,0,15.8,0,0,0
02/07/20,05:40,7.78,0,1038,0,27.2971,26.4445,16.4,0,15.6,0,0,0
02/07/20,05:55,7.78,0,1040,0,27.2971,26.5837,16.2,0,15.6,0,0,0
02/07/20,06:10,7.77,0,1036,0,27.3058,26.7925,16.1,0,15.8,0,0,0
02/07/20,06:25,7.78,0,1032,0,27.3232,26.6011,16,0,15.6,0,0,0
02/07/20,06:40,7.79,0,1028,0,27.3232,25.9225,16.1,0,15.7,0,0,0
02/07/20,06:55,7.78,0,1020,0,27.3232,25.9138,16.2,0,15.7,0,0,0
02/07/20,07:10,7.78,0,1042,0,27.3232,25.9573,16.3,0,15.5,0,0,0
02/07/20,07:25,7.78,0,1036,0,27.3232,25.7833,16.1,0,15.8,0,0,0
02/07/20,07:40,7.79,0,1030,0,27.3232,25.879,16,0,15.7,0,0,0
02/07/20,07:55,7.78,0,1038,0,27.3232,25.9573,16,0,15.8,0,0,0
02/07/20,08:10,7.78,0,1042,0,27.3232,25.8616,16.1,0,15.8,0,0,0
02/07/20,08:25,7.73,0,1010,0,27.2188,25.7746,16,0,15.8,0,0,0
02/07/20,08:40,7.74,0,1046,0,27.2275,25.2961,16.1,0,15.8,0,0,0
02/07/20,08:55,7.74,0,1028,0,27.2275,25.3222,16.2,0,15.6,0,0,0
02/07/20,09:10,7.74,0,1032,0,27.2275,25.879,16.2,0,15.6,0,0,0
02/07/20,09:25,7.75,0,1042,0,27.2188,24.9481,16.1,0,15.8,0,0,0
