Date,Time,PH1,PH2,COND1,COND2,WATER_TEMP,ROOM_TEMP,FBB1,FBB2,FF1,RACK1,DO,TGP
04/03/21,00:02,7.26,0,1002,0,27.01,25.9312,5.4,0,9.5,0,0,0
04/03/21,00:17,7.27,0,1002,0,26.9404,25.879,5.7,0,9.6,0,0,0
04/03/21,00:32,7.3,0,1006,0,27.0013,25.879,5.5,0,10,0,0,0
04/03/21,00:47,7.32,0,1010,0,27.0883,25.8703,5.4,0,9.8,0,0,0
04/03/21,01:02,7.32,0,1002,0,27.184,25.8877,5.6,0,9.9,0,0,0
04/03/21,01:17,7.33,0,1012,0,27.271,25.8964,5.4,0,9.8,0,0,0
04/03/21,01:32,7.34,0,1020,0,27.3406,25.9138,5.3,0,9.8,0,0,0
04/03/21,01:47,7.34,0,1012,0,27.3928,25.9486,5.4,0,9.8,0,0,0
04/03/21,02:02,7.34,0,1018,0,27.358,25.9573,5.5,0,9.7,0,0,0
04/03/21,02:17,7.33,0,1038,0,27.3406,25.9747,5.5,0,9.7,0,0,0
04/03/21,02:32,7.34,0,1028,0,27.3058,25.9573,5.7,0,9.8,0,0,0
04/03/21,02:47,7.36,0,1030,0,27.2884,25.9486,5.6,0,9.9,0,0,0
04/03/21,03:02,7.34,0,1028,0,27.2536,25.966,5.5,0,9.8,0,0,0
04/03/21,03:17,7.35,0,1026,0,27.2362,25.9573,5.6,0,9.7,0,0,0
04/03/21,03:32,7.36,0,1022,0,27.2101,25.9573,5.4,0,9.8,0,0,0
04/03/21,03:47,7.34,0,1022,0,27.1753,25.9225,5.5,0,9.8,0,0,0
04/03/21,04:02,7.33,0,1026,0,27.1492,25.9312,5.5,0,9.9,0,0,0
04/03/21,04:17,7.36,0,1026,0,27.1144,25.9225,5.6,0,9.8,0,0,0
04/03/21,04:32,7.36,0,1034,0,27.097,25.9138,5.3,0,9.8,0,0,0
04/03/21,04:47,7.37,0,1012,0,27.0796,25.8964,5.7,0,9.7,0,0,0
04/03/21,05:02,7.35,0,1026,0,27.0709,25.879,5.5,0,9.9,0,0,0
04/03/21,05:17,7.35,0,1022,0,27.0448,25.8529,5.4,0,9.7,0,0,0
04/03/21,05:32,7.36,0,1026,0,27.0187,25.8616,5.6,0,9.8,0,0,0
04/03/21,05:47,7.37,0,1028,0,27.0187,25.8529,5.5,0,10.1,0,0,0
04/03/21,06:02,7.37,0,1028,0,27.0013,25.8616,5.4,0,9.8,0,0,0
04/03/21,06:17,7.37,0,1034,0,26.9839,25.8529,5.5,0,9.8,0,0,0
04/03/21,06:32,7.37,0,1028,0,26.9665,25.8181,5.3,0,9.7,0,0,0
04/03/21,06:47,7.35,0,1034,0,26.9404,25.8268,5.5,0,9.9,0,0,0
04/03/21,07:02,7.36,0,1034,0,26.9317,25.8181,5.5,0,9.9,0,0,0
